Visitor #,Timestamp,Visitor Id,Repeat Visitor,NumbeOfVisit,Visitor Name(Premium),Referrer,Keywords,Entrance Page,Visit Duration(seconds)(Premium),Visit Depth(Premium),Conversions(Premium),Click Path(Premium),IP,Organization,Country,Region,City,Postal Code,Screen Size,Browser,OS,User Agent
194,Sep 6 2020 02:24:07 AM,X1PJtptYIF7tyt@Jzu-vEQAAAAE,no,1,,Direct Access,,https://www.helldog-s.com/grapher,33,1,,https://www.helldog-s.com/grapher (33 seconds),211.36.134.226,LG Uplus,South Korea,Seoul,Seoul,2878,375x667,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 8.9.8"
193,Sep 6 2020 12:46:21 AM,X1OywxiZWC4sN0X-zFKJiAAAAEQ,no,1,,Direct Access,,https://www.helldog-s.com,6,1,,https://www.helldog-s.com (6 seconds),211.36.143.89,LG Uplus,South Korea,Seoul,Gangnam-gu,6333,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone12,3; iOS 13_5_1; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 241452311)"
192,Sep 6 2020 12:28:36 AM,X1OupInYFsAtrarA8XxBpAAAAAI,no,1,,https://m.ad.search.naver.com/search.naver?where=m_expd&query=연주자프로필사진&referenceId=U1MXPwp0JxossEABu/4ssssst2Z-250259,연주자프로필사진,https://www.helldog-s.com/musician,6,1,,https://www.helldog-s.com/musician (6 seconds),125.186.138.190,Lg Powercomm,South Korea,Seoul,Guro-gu,8367,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-N960N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
191,Sep 6 2020 12:09:48 AM,X1OqO9gdYNOjYTyddjs9YgAAAAE,no,1,,session_resume::l.instagram.com,,https://www.helldog-s.com/body,32,2,,https://www.helldog-s.com/body (18 seconds) > https://www.helldog-s.com/seminude (14 seconds),175.223.31.77,Korea Telecom,South Korea,Seoul,Seoul,2878,375x667,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 146.0.0.21.122 (iPhone10,4; iOS 12_3_1; ko-Kore_KR; ko-KR; scale=2.00; 750x1334; 220223664)"
190,Sep 6 2020 12:02:01 AM,X1OoaDZyrXqfLwZA5iGMIgAAAAI,no,1,,Direct Access,,https://www.helldog-s.com/seminude,9,1,,https://www.helldog-s.com/seminude (9 seconds),203.212.111.14,Namincheon Brodcasting Co.,South Korea,Incheon,Incheon,21539,414x896,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,6; iOS 13_6; ru_KR; ru-KR; scale=3.00; 1242x2688; 241452311)"
189,Sep 6 2020 12:01:07 AM,X1OoMrjc7KcWXIViu8U4WgAAAAU,no,1,,https://l.instagram.com,,https://www.helldog-s.com/model-and-actor,32,1,,https://www.helldog-s.com/model-and-actor (32 seconds),210.121.160.45,Korea Telecom,South Korea,Seoul,Gwanak-gu,8787,412x869,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G973N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36 Instagram 157.0.0.37.120 Android (29/10; 420dpi; 1080x2042; samsung; SM-G973N; beyond1; exynos9"
188,Sep 5 2020 11:57:14 PM,X1OnSSW3l@2useQDL27N0QAAAAI,no,1,,Direct Access,,https://www.helldog-s.com/grapher,1,1,,https://www.helldog-s.com/grapher (1 seconds),27.1.106.107,KangNam CableTV,South Korea,Seoul,Gangnam-gu,6333,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,2; iOS 13_6_1; en_KR; en-US; scale=3.00; 1125x2436; 241452311)"
187,Sep 5 2020 11:54:23 PM,X1Omn1QcHE1N8G1HTFIl5AAAAAU,no,1,,https://m.ad.search.naver.com/search.naver?where=m_expd&query=여자바디프로필스튜디오&referenceId=U1MDPwp0JWVssQiE6E0ssssstMl-260689,여자바디프로필스튜디오,https://www.helldog-s.com/body,25,1,,https://www.helldog-s.com/body (25 seconds),121.129.109.133,Korea Telecom,South Korea,Seoul,Seongbuk-gu,2814,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 9; SM-G965N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
186,Sep 5 2020 11:49:15 PM,X1Ola4xC2c3eX4YeFzFhZwAAAAQ,no,1,,Direct Access,,https://www.helldog-s.com/model-and-actor,26,1,,https://www.helldog-s.com/model-and-actor (26 seconds),59.6.223.77,Korea Telecom,South Korea,Seoul,Yongsan-gu,4353,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone12,3; iOS 13_6; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 241452311)"
185,Sep 5 2020 11:46:08 PM,X1OksC@KcQotumcEfq-pxgAAAAE,no,1,,https://search.naver.com/search.naver?sm=top_sly.hst&fbm=1&acr=5&ie=utf8&query=비글스튜디오,비글스튜디오,https://www.helldog-s.com/dog,19,1,,https://www.helldog-s.com/dog (19 seconds),218.155.134.9,Korea Telecom,South Korea,Gyeonggi-do,Gwangju,12761,3840x1080,Chrome,Windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
184,Sep 5 2020 10:58:54 PM,X1M3JTg3mEgL3x8j0aRZaQAAAAA,yes,2,,https://m.blog.naver.com/PostView.nhn?blogId=leyskyblue&logNo=221616421405&targetKeyword=발레프로필&targetRecommendationCode=1&keywordSearchType=TEXT,,https://www.helldog-s.com/body,19,1,,https://www.helldog-s.com/body (19 seconds),14.37.83.120,Korea Telecom,South Korea,Incheon,Incheon,21539,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A750N/KSU3CTF2) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
183,Sep 5 2020 09:20:34 PM,X1OCkhorwA3gqBnvRE30-wAAAAQ,no,1,,https://m.ad.search.naver.com,,https://www.helldog-s.com/lesson-photo,19,1,,https://www.helldog-s.com/lesson-photo (19 seconds),121.143.90.79,Korea Telecom,South Korea,Gyeonggi-do,Gimpo-si,10108,414x736,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1"
182,Sep 5 2020 08:00:18 PM,X1NvwoPBAjL3nAu9IAvb@AAAAAA,no,1,,Direct Access,,https://www.helldog-s.com,24,3,,https://www.helldog-s.com (6 seconds) > https://www.helldog-s.com (1 seconds) > https://www.helldog-s.com/dog (18 seconds),223.62.204.119,SK Telecom,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1"
181,Sep 5 2020 07:32:52 PM,X1NpUx0pf6cWQH7DzW7GkwAAAAI,no,1,,https://www.youtube.com,,https://www.helldog-s.com/body,65,2,,https://www.helldog-s.com/body (33 seconds) > https://www.helldog-s.com/contact (32 seconds),58.230.83.127,SK Broadband,South Korea,Seoul,Songpa-gu,5670,360x640,Chrome,Android,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A810S) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
180,Sep 5 2020 07:31:20 PM,X1No@Jm6lIKLz5htqv9Y7QAAAAA,no,1,,linkedin.android,,https://www.helldog-s.com,32,2,,https://www.helldog-s.com (19 seconds) > https://www.helldog-s.com/ceo (13 seconds),2001:2d8:6768:3c0c:49dc:7284:87e8:459,SK Telecom,South Korea,Daegu,Daegu,41934,412x915,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G988N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.96 Mobile Safari/537.36"
179,Sep 5 2020 04:45:44 PM,X1NCKJNtXCKpnvSFINPwlgAAAAM,no,1,,https://link.inpock.co.kr/helldog_s,,https://www.helldog-s.com,58,4,,https://www.helldog-s.com (14 seconds) > https://www.helldog-s.com/lookbook (33 seconds) > https://www.helldog-s.com (6 seconds) > https://www.helldog-s.com/product (6 seconds),223.38.35.134,SK Telecom,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 155.0.0.26.107 (iPhone12,3; iOS 13_6_1; ko-Kore_KR; ko-KR; scale=3.00; 1125x2436; 238897012)"
178,Sep 5 2020 04:09:26 PM,X1M5plJaW7yeFO8C2Fq7RQAAAAI,no,1,,Direct Access,,https://www.helldog-s.com/body,38,3,,https://www.helldog-s.com/body (14 seconds) > https://www.helldog-s.com/person (6 seconds) > https://www.helldog-s.com/seminude (19 seconds),223.38.24.38,SK Telecom,South Korea,Seoul,Seoul,2878,375x812,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 KAKAOTALK 9.0.0"
177,Sep 5 2020 03:58:45 PM,X1M3JTg3mEgL3x8j0aRZaQAAAAA,no,1,,https://m.blog.naver.com/sampgon/222013209074,,https://www.helldog-s.com/body,644,15,,https://www.helldog-s.com/body (34 seconds) > https://www.helldog-s.com/contact (42 seconds) > https://www.helldog-s.com/person (73 seconds) > https://www.helldog-s.com/review-board (116 seconds) > https://www.helldog-s.com/contact (18 seconds) > https://www.helldog-s.com/contact (13 seconds) > https://www.helldog-s.com/lesson-photo (85 seconds) > https://www.helldog-s.com/model-and-actor (26 seconds) > https://www.helldog-s.com/person (33 seconds) > https://www.helldog-s.com/group (61 seconds) > https://www.helldog-s.com/print-copy (51 seconds) > https://www.helldog-s.com/person (33 seconds) > https://www.helldog-s.com/person (32 seconds) > https://www.helldog-s.com/contact (6 seconds) > https://www.helldog-s.com/grapher (25 seconds),14.37.83.120,Korea Telecom,South Korea,Incheon,Incheon,21539,412x846,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A750N/KSU3CTF2) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/12.1 Chrome/79.0.3945.136 Mobile Safari/537.36"
176,Sep 5 2020 02:53:18 PM,X1MnzXqvRVAl045GSHe85gAAAAQ,no,1,,Direct Access,,https://www.helldog-s.com/body,18,1,,https://www.helldog-s.com/body (18 seconds),211.36.134.111,LG Uplus,South Korea,Seoul,Seoul,2878,375x667,Safari,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1"
175,Sep 5 2020 02:29:01 PM,X1MiHMa2JJT0ykQLopxTSgAAAAQ,no,1,,https://l.instagram.com,,https://www.helldog-s.com/body,33,2,,https://www.helldog-s.com/body (25 seconds) > https://www.helldog-s.com/seminude (8 seconds),122.42.145.115,Lg Powercomm,South Korea,Seoul,Seoul,2878,412x915,Chrome,Android,"Mozilla/5.0 (Linux; Android 10; SM-G981N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36 Instagram 157.0.0.37.120 Android (29/10; 420dpi; 1080x2196; samsung; SM-G981N; x1q; qcom; ko_KR"
